,0
Mbp,0.00235409907683
Plp1,0.00203951268178
Snap25,0.00189097583874
Olfm1,0.00162329739125
Gnas,0.00144094057594
Sparcl1,0.00143223482228
Cpe,0.00140825655894
Fth1,0.00137549312951
Ubb,0.00137535658526
Actb,0.00136944131686
Ppp3ca,0.00131751292522
Camk2n1,0.00131271340677
Tmsb4x,0.00129097469316
Nrgn,0.00128388261621
Atp1b1,0.0012716868351
Ywhaz,0.00124707837007
Calm2,0.00122383276017
Rtn1,0.00119302878691
Cst3,0.0010814559629
Mobp,0.00104653042951
Gpm6a,0.00103154912759
App,0.00102424328789
Ndrg4,0.00101953059401
Rtn3,0.000974456118081
Cox6c,0.000956377296115
Nptxr,0.000950079257983
Aplp1,0.000933934294075
Ncdn,0.000928379637663
Sepw1,0.000923466318469
Psap,0.000904485591364
Tuba1a,0.000899963552789
Slc1a2,0.000896321355892
Aldoa,0.000891451393789
Tspan7,0.000890848857343
Chn1,0.000890461825712
Cox6a1,0.000888916671853
Ywhag,0.000874985694911
Actg1,0.000865112052134
Itm2b,0.000865044714456
Atp5a1,0.000863665740934
Slc17a7,0.000847106567515
Mal,0.000842094743335
Rps21,0.000839484751388
Hsp90aa1,0.000833394623576
Ttr,0.000825623100966
Cldn11,0.00080613033429
Apoe,0.000806054154152
Cox8a,0.000799893904629
Ptgds,0.000797201060757
Ndufa4,0.000796136186589
Scd2,0.000792179720551
Slc25a4,0.000788123611373
Uchl1,0.00077908280135
Glul,0.00077656040592
Mdh1,0.000774936735098
Atp5b,0.000774847778447
Cplx1,0.000772819385746
Serinc1,0.000771337323583
X2010107E04Rik,0.000765715330048
Hsp90ab1,0.000760595994154
Calm1,0.000760568747519
Cfl1,0.000758492622633
Stmn3,0.000750173473079
Prkacb,0.000743033330886
Ppp3r1,0.000740370452002
Atp2a2,0.0007326463883
Qk,0.000727770937154
Cck,0.000726867260102
Pja2,0.000723063839773
Syt1,0.000722054236201
Ywhah,0.000719019766816
Vamp2,0.00071079068241
Atp5k,0.000698839426681
Vsnl1,0.000694427197972
Nsg2,0.000687641763399
Map1b,0.000687204441335
Chgb,0.000686301147279
Tubb2a,0.000684759051234
Camk2a,0.000679815426321
Aldoc,0.000679694209611
Itm2c,0.000672189006274
Pcp4,0.000670047358162
Rps29,0.000668253289647
Cnp,0.000664136429907
Zwint,0.000661854484687
Prkcb,0.000661843745925
Bex2,0.000658625332635
Nptn,0.000656988364536
Fkbp1a,0.000653874333103
Calm3,0.000650692137651
Arf3,0.00064455794168
Gpm6b,0.00064074493906
Sv2b,0.000638798075039
Cox4i1,0.000638649701041
Syn2,0.000636828603207
Rab6a,0.000635386508479
Pcsk1n,0.000619666582684
Cox7c,0.000619482658424
Usmg5,0.00061639856236
Clstn1,0.000611737973924
Sncb,0.000609501314282
Tmsb10,0.000607283896779
Rps14,0.000606486856288
Rplp1,0.000606387309603
Rab3a,0.000606193288883
Gda,0.000603725176267
Clu,0.000597827684833
Klc1,0.000595699858463
Stxbp1,0.000592974558414
Ptprs,0.000588048924803
Atp6v1a,0.000585609612741
Pfn2,0.000582984083834
Eef1a2,0.000582963143859
Atp5f1,0.000581120317467
Gria2,0.000578823170203
Tubb5,0.000576719336318
Ndrg3,0.000576633382703
Nap1l5,0.000574512672631
Nrxn2,0.000569585124548
Cryab,0.000568931883909
Tuba4a,0.000566494973215
Wasf1,0.00056538175763
Gm10076,0.000562959204013
Rab6b,0.000562039589176
Dnm1,0.000561931665329
Atp2b1,0.000560462645511
Mt1,0.000555069142058
Hpcal4,0.000555030429072
Sh3gl2,0.000552808970155
Cd81,0.000552363556351
Nnat,0.00055131596385
Pak1,0.00054943232535
Efhd2,0.000548945542313
Gnb1,0.000547666049829
Kif1b,0.000545502917063
Syt11,0.000545105122338
Uqcr11,0.000539650050178
Idh3b,0.000537499205729
Sptbn1,0.000537105254057
Cox7a2,0.00053622766439
Thy1,0.000534445090585
Chchd10,0.000534096263928
Ubc,0.000531127978563
Hnrnpa2b1,0.000530882529664
Gabra1,0.000530312403062
Slc22a17,0.000530117348387
Nckap1,0.000524025338731
Pkm,0.000523323958429
Sod1,0.00052242286498
Hsbp1,0.000521139759494
Arpp21,0.000520166512552
Ckb,0.000518733665784
Tspan2,0.000514086302608
Pld3,0.00051250248758
Rtn4,0.00050775435083
Grina,0.000506350442607
Cox6b1,0.000505941477748
Tmem30a,0.00050228055058
Purb,0.000501704134445
Tspyl4,0.000501379775442
Gaa,0.000501373929462
Pebp1,0.000500876319848
Gap43,0.000499573187989
Rps15,0.00049877122927
Nrsn1,0.000497930043561
Rpl32,0.000497865421015
Prkce,0.000496810762733
Gnao1,0.000495454092572
Ncald,0.000494143327728
Hprt,0.000491791679333
Ttc9b,0.000490084655594
Atp1a2,0.000489828936341
Marcks,0.000487515951576
Nrxn3,0.000486978650356
Gm10073,0.000484535422354
Ywhab,0.00048426202428
Dnaja1,0.000482743379157
Chchd2,0.000481150343727
Tcf25,0.000481119698765
Gabarapl1,0.000480422946552
Ap2m1,0.000479406920481
Lmo4,0.000479243076258
Fbxl16,0.000479081752559
Mapk1,0.000478729685487
Id2,0.000477502543363
Hbb.bs,0.000475591640446
Rpl38,0.000475276776549
Rpl31,0.000474622131109
Eif4g2,0.00047309709511
Celf4,0.000472637272975
Hnrnpu,0.000472399616695
Dclk1,0.000471032068962
Ywhae,0.000469579548595
Tagln3,0.000469411183605
Ddn,0.000469220746523
Ndufa2,0.000467598826887
Pcsk2,0.000467511563271
Atp6v0b,0.000466937825266
Synj1,0.000466889392032
Mt3,0.000466450350425
Rbfox1,0.00046583401248
Cntn1,0.000465486339764
Rprm,0.000462888136871
Penk,0.000461429150842
Myeov2,0.000460865112323
Gng3,0.000460228324347
Sst,0.000459939958561
Stmn2,0.00045868629777
Syp,0.000452203414997
Slc24a2,0.000451940285139
Ttc3,0.000451906833538
Cbx6,0.000451338268115
Nisch,0.000448531059882
Enc1,0.000447792145789
Nefl,0.000447130779349
Rpl41,0.000446861626451
Got1,0.000446853224185
Atp6v1d,0.000446601068642
Rasgrp1,0.000445613635415
Prnp,0.000444671133734
Ube2r2,0.000442382638334
Snap91,0.000441185950498
Mef2a,0.000439431750196
Kifap3,0.000438233282352
Ghitm,0.000436837634822
Ndufc1,0.000436054490232
Tspan3,0.000435684536049
Rps10,0.000435513035749
Stmn4,0.000433368586956
Sec62,0.000430475308586
Ttyh1,0.000429737654447
Napb,0.000427893180396
Ndrg2,0.000427855660004
Mllt11,0.00042775473954
Dlgap1,0.000427564648647
Stmn1,0.000426834860029
Cplx2,0.000426646619373
Atp6v1e1,0.000426096441062
Dpysl2,0.000425769204661
Maged1,0.000424605569304
Cadm2,0.000424245626618
Cox7b,0.000423098065461
Thra,0.000422616517132
Lmo3,0.000422340291113
Ppp2r2c,0.000421738921205
Slc30a3,0.000420632507036
Osbpl1a,0.000419923587968
Nov,0.000419168488571
Smim13,0.000417294468977
Ank2,0.000417082101353
Reep5,0.000416999501528
Kif5a,0.000416937158656
Ldha,0.000416315414492
Slc25a3,0.000413818310768
Basp1,0.000413546767291
Map2k1,0.000409687424643
Ypel5,0.000409640370818
Ndufb9,0.000409409783572
Ppp1ca,0.000409323313968
Ppp1cb,0.00040931183867
Hpca,0.000408631769228
Sept8,0.000408388128278
Sept11,0.000406952318617
Rab2a,0.000406811171013
Atp1a1,0.000406569841678
Pgm2l1,0.000405860714435
Arglu1,0.000403627342852
Ddx5,0.000402465535754
Gde1,0.000401844051204
Zfr,0.00040157238734
Clip3,0.000400834967801
Plcxd2,0.00040027177769
Gdi1,0.000398420192113
Arf1,0.000398170146813
Ids,0.000398024651424
Zfp365,0.000397546832738
Fam49a,0.00039674951809
Uqcrq,0.000396434249971
Scoc,0.000396405137974
Peg3,0.00039636908653
Mrfap1,0.000394955915579
Atp6v1b2,0.000394952002424
Tpi1,0.000394831783652
Serinc3,0.00039279612114
Cacna2d1,0.000392108159849
Pgrmc1,0.000391778622632
Pnmal2,0.00039120610888
Rbfox2,0.000388522214696
Plekhb1,0.000388074493251
Celf2,0.000387888044358
Slc6a11,0.000386839904896
Synpr,0.000386495838694
Map2,0.000384984937449
Cnih2,0.000383819932462
Ndufs6,0.000383468753075
Atp5d,0.000382581866573
Ube2ql1,0.000382339934866
Atp6ap2,0.000382236617599
Hint1,0.000382035640213
Scg5,0.000380381020582
Nsf,0.000380284008561
Srp9,0.000380110648349
Nell2,0.000379860329202
Sparc,0.000379429946544
Rpl18,0.00037916909022
Eno2,0.000378338195807
Mapt,0.000377854514679
Rps27,0.000377831652281
Hbb.bt,0.000377528330282
Ensa,0.000377206114517
Eif4a2,0.000377125162835
Rps28,0.000376892427424
Uqcc2,0.000376203666454
Ctxn1,0.000375317224043
Khdrbs3,0.000373775627386
Ctnnb1,0.000373384389237
Sptan1,0.000371139701632
Rpl4,0.000370559279173
Amph,0.000369899213318
Emc10,0.000369722607328
Syn1,0.000369690607428
Plppr4,0.000369468559632
Snca,0.000369416538326
Nrxn1,0.000369021960585
Adcy1,0.000368078916628
Rps25,0.000367006614008
Ptn,0.000366573516454
Arpp19,0.000366257499304
Atp6v1c1,0.000365983510574
Adcy5,0.000363356116804
Tmem256,0.000362747134856
Arhgap32,0.000362094526317
Rps5,0.000362010398222
Brinp1,0.000361326832671
Tsc22d1,0.0003604984136
Rpl34,0.000359987863684
Rasgef1a,0.00035992909257
Slc1a3,0.00035985711546
Rpl37,0.000359232407965
Gnb2,0.000358554408318
Cxx1a,0.000358265482984
Rpl28,0.000356479878585
Tcf4,0.000356254524122
Atp5g3,0.000356090405832
Rps20,0.000355879696838
Gad1,0.000355648969716
Rps12,0.000355551808168
Cadm1,0.000354607946406
Dcn,0.000353640744057
Arl6ip1,0.000353442627512
Dynll2,0.000353285953733
Pkia,0.000353202347837
Skp1a,0.000353133465605
Canx,0.000353084979238
Ptprn,0.000352646275073
Rabac1,0.000352618731978
Csde1,0.000352290719262
Ppp2ca,0.000351978072227
Scamp1,0.000351969826124
Capza2,0.000351830681261
Add1,0.000350361901081
Ldhb,0.000350252935631
Myl12b,0.000349713844505
Serpini1,0.000349337273677
Rap1gds1,0.000349089643227
Nptx1,0.000349030370353
Vdac3,0.000349015962615
Apod,0.000348966580974
Map4,0.00034847287777
Tprgl,0.000348078930816
Mtpn,0.00034798940946
Mdh2,0.000346706682689
Pafah1b1,0.00034567281914
Snrpn,0.000345616359963
Atp5c1,0.000344535120441
Rpl23a,0.000343976639869
Ogfrl1,0.000343932823147
Hnrnpk,0.000343753943362
Atp2b2,0.000343168733202
Hmgcs1,0.000342378753034
Rab7,0.00034178100881
Zcchc12,0.000341258433825
Sirt2,0.000340975236266
Egr1,0.000340759478105
Ndufa3,0.000340085730113
Gatm,0.000340045338249
Prkar1b,0.000339806222221
Vapa,0.000338892480339
Neurod6,0.00033805224291
Abca2,0.000337739496336
Camkv,0.000337132658135
Syngr3,0.000337038178743
Qdpr,0.000336978790462
Spock2,0.000336969295098
Trf,0.000336863437566
Rnf187,0.00033526202915
Scg2,0.000334935774984
Rps15a,0.000334857071074
Tusc3,0.000334681483278
Slc4a10,0.00033434057135
Rps9,0.000334055630957
Rap2a,0.000332249479757
Dnajc6,0.000331645480684
Rpl11,0.000331347843489
Aatk,0.000330632873471
Aak1,0.000330394481645
Rab14,0.000330084723644
Ndufb6,0.000329580373124
Car2,0.000328200596495
Pmch,0.000327561671315
Rnf11,0.000327540216063
Apbb1,0.000327408658452
Rpl27a,0.000326885073368
Trnp1,0.000326250642909
Cyc1,0.000326203771799
Plec,0.000325875065889
Atp5o,0.000325216981676
H3f3b,0.000324577577798
Psd,0.000323889245632
Chd3,0.000323301361525
Mt2,0.00032302198126
Notch2,0.000321769859938
Adar,0.000321005509251
Gm9843,0.000320504562537
Ndufa10,0.000319268472573
Rhob,0.000318951016794
Cyfip2,0.000317633707279
Gsk3a,0.000317373048784
Ociad1,0.000317222512622
Myt1l,0.000317190098493
Pvalb,0.000316570587874
Slc6a1,0.00031575913014
Ptp4a2,0.000315720621324
Atp6v0e2,0.000314742286763
Ctsb,0.00031450014869
Kif5c,0.000314161590726
Sh3bp1,0.000313880278182
Abr,0.000313729528583
Mark1,0.00031332054166
Atp5j,0.000312652070505
Laptm4a,0.000312217606447
Sult4a1,0.000312117209807
Sez6,0.000311703339295
Ssr4,0.000311636868718
Map7d1,0.000311513482665
Pafah1b2,0.000311429108194
Sub1,0.000311223091044
Negr1,0.00031089843879
Ctnnd2,0.000310481456054
Rps8,0.000310418832961
Fam163b,0.000310212915762
Prkar1a,0.000309466195162
Rack1,0.000308660790547
Kif5b,0.000308654496701
Snap47,0.000308639237785
Eef1a1,0.000308598203937
Icam5,0.000307729304954
Lpgat1,0.000307635121853
Bsg,0.000307417991464
Ndufa8,0.000307069517044
Tubb3,0.000306733251355
Map7d2,0.000306708089561
Cadps,0.000306630260918
Snx10,0.000305467249334
Saraf,0.000305270696905
Nsg1,0.000305270202163
Etnk1,0.000304907306984
Atp5j2,0.000304677706218
Atp6v1g2,0.000304628873857
Pfkp,0.000304460774393
Cyhr1,0.000304290008699
Hba.a2,0.000304187913341
Dlg2,0.000304023639302
Prdx2,0.000303688692609
Rps2,0.000302884243912
Rps3,0.000302785864167
Matr3,0.000302049125291
Adarb1,0.000301603999376
Zfp706,0.000301437506598
Ptk2b,0.000300905410854
Rheb,0.000300811660409
Sh3bgrl3,0.000300636295886
Nefm,0.00030053722601
Rpl17,0.000300533984503
Ctbp1,0.000300082113539
Rps19,0.000299947066492
Nrn1,0.000299879026031
Actr3,0.000299610827775
Cntnap1,0.000298567481729
Epn1,0.000298477422494
Klhl2,0.000298343220772
Gabrb3,0.000298260162116
Atp6v1f,0.000298140717309
Dner,0.000297636453787
Nbea,0.000297611635624
Gstm5,0.000297551657453
Ptpra,0.000297419758184
Crtac1,0.000297283703141
Eif1,0.000297264562909
Rps24,0.000296989013331
Rpl13.ps3,0.00029669207987
Cpped1,0.000296644757897
Mog,0.000296257832484
Ndufv2,0.000296077958201
Adrbk2,0.000295967752143
Ppp3cb,0.000295890615565
Ccl27a,0.000295889643105
Zbtb20,0.000295295294766
Rpl7,0.000294462163651
Mat2b,0.000294317687687
Tpt1,0.000293768227487
BC005537,0.000293446723376
Eef2,0.000293340586524
Eps15,0.000293186523145
Anks1b,0.000293132820471
Ngef,0.000292712055
Adgrb2,0.000292121467932
Crym,0.000292047147458
Rit2,0.000292046801292
Slc25a22,0.000291922919263
Map1lc3a,0.000291647064254
Rac1,0.000291586817756
Kcnj10,0.000291409158804
Gls,0.000290737964736
Ly6h,0.000290272207284
Eftud2,0.000290111112124
Mlc1,0.000290085366849
Dynlrb1,0.000290042909211
X4930402H24Rik,0.000289933850952
Nme1,0.000289754444136
Klhl22,0.000289489952599
Pja1,0.000289192141961
Baiap2,0.000288402272791
Ahi1,0.000288030440034
Pbx1,0.000287902495413
Scn1b,0.000287857579198
Rgs4,0.000287840044636
Tubb4a,0.000287717838292
Glrb,0.000287421047159
Fau,0.000287152388491
C1qtnf4,0.000287037759743
Pfdn5,0.000285931867064
Ppp1r9b,0.000285759924354
Atrx,0.000285638860532
Napa,0.000285441318386
Vamp1,0.000285381791264
Tgoln1,0.000284899554571
Eif3l,0.000284820996098
Cltc,0.000284320134615
Rasgrf1,0.000284114623993
Gng13,0.000284090445833
Rpl9,0.000283704862515
Stk25,0.000283640424568
Herc1,0.000283557067862
Ube2d3,0.000283529026497
Snph,0.000283289907558
Ngfrap1,0.000283254004552
Aes,0.00028312577289
Igsf8,0.000282861224257
Wnk1,0.000282406155856
Fez1,0.000282327761861
Calr,0.000282086803683
Map6,0.000281935544651
Azin1,0.000281729879734
Nmral1,0.000281614366121
Pcdh10,0.00028161091357
Tspan13,0.000281271533269
Cdk5,0.000280904525688
Cerk,0.000280704325483
Rnf13,0.000280290720065
Gpr88,0.000280271141833
Rpl35a,0.000280139209497
Gm10269,0.000279766304232
Cox5b,0.00027960308996
Git1,0.000278525999651
Rpl12,0.000277976456981
Snap29,0.000277968009411
X2010300C02Rik,0.000277597316415
Tmem50b,0.000277266970787
Gabrg2,0.000276829248724
Bmpr2,0.000276239938683
Tceal5,0.000276046691247
Gria3,0.000276001102169
Hs3st4,0.00027576574814
Hba.a1,0.000275380395082
Tubb4b,0.000275353147235
Morf4l2,0.000275307372503
Bin1,0.000274800889557
Ndn,0.000274648564427
Rad23b,0.000274606468457
Csnk1e,0.000274283248134
Gdi2,0.000274077440337
Rpl6l,0.000273676177673
Gsn,0.000273380845132
Epb41l1,0.000272769817751
Gria1,0.000272720403024
Sirpa,0.000272537761626
Eif4a1,0.000272512532939
Wfs1,0.000272317220605
Cpne6,0.00027195737135
Oxr1,0.000271929018203
Ndufb8,0.000271433185031
X3110035E14Rik,0.000271384840592
Vstm2a,0.000271305099169
Usp46,0.000270807864234
Tmed7,0.000270728979158
Dnaja2,0.000270693868172
Fut9,0.000270271212282
Usp22,0.000270216016121
Pde1a,0.000270153494838
Gabbr1,0.000270057621747
Strn3,0.000270026364551
Nucks1,0.000269548754936
Npdc1,0.000269471633497
Psd3,0.000269311360438
Etl4,0.000269298003907
Tubb2b,0.000268690869614
Psmd6,0.000268467187336
Pcbp2,0.000268311739418
Ubald1,0.00026821223277
Selt,0.000268183066482
Mprip,0.000267989898152
Syt5,0.000267623537367
Arap2,0.000267050267941
G3bp2,0.000267003673917
Pea15a,0.000266953176988
Hspa4,0.000266949934389
Ptpn5,0.000266517280112
Hp1bp3,0.000266428341827
Uhmk1,0.00026641065089
Dbi,0.00026622319549
Tmem229a,0.000266183289497
Slc25a5,0.000266012697492
Pclo,0.000265980864662
Zfand5,0.000265841956711
Wbp4,0.000265724363268
Snn,0.000265605071579
Gprasp1,0.000265170768909
Swi5,0.00026512052183
Sh3glb2,0.000264895261515
Phyhipl,0.000264832036901
Mboat7,0.000264587451306
Reps2,0.000264406479836
Lmbrd1,0.000262533966672
Gm11273,0.00026246850663
Gna11,0.00026239530318
Rnf14,0.000261614494794
Fgf13,0.00026158985141
Tle4,0.0002609223516
Ndufv3,0.000260469781258
Rtfdc1,0.000260140687781
Atf2,0.000260101025987
Slc12a5,0.000259999442913
Epb41l3,0.000259965726468
Lmtk3,0.000259777131688
Rab3b,0.000259256675783
Slc12a2,0.000258697575213
Vstm2l,0.000258687312429
Selk,0.000258663691975
Kcnip4,0.000258560349209
Zbtb18,0.000258478574998
Spag9,0.000258390443935
Fam134a,0.0002577032126
Hspa12a,0.00025732138641
Mink1,0.000257252246251
Cdip1,0.000256514547711
Mtch1,0.000256265333864
Dennd5a,0.000256123410231
